1,クリスティアーノ・ロナウド,ポルトガル
2,リオネル・メッシ,アルゼンチン
3,ネイマール,ブラジル
4,ディエゴ・ミリート,アルゼンチン
5,ディディエ・イヴ・ドログバ,コートジポワール
6,アリエン・ロッベン,オランダ
7,ディ・マリア,アルゼンチン
8,アンドレス・イニエスタ,スペイン
9,セルヒオ・ラモス,スペイン
10,ガレス・ベイル,ウェールズ
11,ファン・ダイク,オランダ
