1,レアル・マドリード
2,バイエルン・ミュンヘン
3,リヴァプール
4,ユベントス
5,アトレティコ・マドリード
6,バルセロナ
7,ボルシア・ドルトムント
8,インテル
9,トッテナム
10,マンチェスター・ユナイテッド
11,チェルシー
